Selected, Category, Month, Day, Date, Name
FALSE, Other, May, 19, 19-May-14, Malcolm X Day (United States of America)
FALSE, Other, May, 20, 20-May-14, World Metrology Day
FALSE, Other, May, 21, 21-May-14, Emergency Medical Services for Children Day
FALSE, Other, May, 21, 21-May-14, World Day for Cultural Diversity for Dialogue and Development (International)
FALSE, Other, May, 22, 22-May-14, National Maritime Day
FALSE, Other, May, 22, 22-May-14, International Day for Biological Diversity (International)
FALSE, Other, May, 23, 23-May-14, World Turtle Day
FALSE, Other, May, 24, 24-May-14, Commonwealth Day 
FALSE, Other, May, 25, 25-May-14, National Missing Children's Day
FALSE, Other, May, 25, 25-May-14, National Tap Dance Day (United States)
FALSE, Other, May, 26, 26-May-14, Memorial Day
FALSE, Other, May, 26, 26-May-14, Jefferson Davis Birthday
FALSE, Other, May, 27, 27-May-14, Isra and Mi'raj
FALSE, Other, May, 28, 28-May-14, 
FALSE, Other, May, 29, 29-May-14, Ascension Day
FALSE, Other, May, 29, 29-May-14, International Day of United Nations Peacekeepers (International)
FALSE, Other, May, 30, 30-May-14, 
FALSE, Other, May, 31, 31-May-14, Maha Rana Pratap Jayanthi
FALSE, Other, May, 31, 31-May-14, World No Tobacco Day (International)
FALSE, Other, June, 1, 1-Jun-14, Guru Arjun Dev Martyrdom Day
FALSE, Other, June, 1, 1-Jun-14, Statehood Day
FALSE, Other, June, 1, 1-Jun-14, International Children's Day (International)
FALSE, Other, June, 2, 2-Jun-14, 
FALSE, Other, June, 3, 3-Jun-14, Sital Sashti 
FALSE, Other, June, 4, 4-Jun-14, International Day of Innocent Children Victims of Aggression (International)
FALSE, Other, June, 4, 4-Jun-14, Tiananmen Square Protests of 1989 Memorial Day (International)
FALSE, Other, June, 5, 5-Jun-14, World Environment Day (International)
FALSE, Other, June, 6, 6-Jun-14, UN Russian Language Day (United Nations)
FALSE, Other, June, 7, 7-Jun-14, Shab-e-Barat
FALSE, Other, June, 8, 8-Jun-14, World Brain Tumor Day
FALSE, Other, June, 8, 8-Jun-14, World Oceans Day (International)
FALSE, Other, June, 9, 9-Jun-14, 
FALSE, Other, June, 10, 10-Jun-14, Kottiyoor Utsavam
FALSE, Other, June, 11, 11-Jun-14, Kamehameha Day, 
FALSE, Other, June, 12, 12-Jun-14, Vat Pournima
FALSE, Other, June, 12, 12-Jun-14, Loving Day (United States)
FALSE, Other, June, 12, 12-Jun-14, World Day Against Child Labour (International)
FALSE, Other, June, 13, 13-Jun-14, Sant Guru Kabir Jayanthi
FALSE, Other, June, 14, 14-Jun-14, Flag Day (United States)
FALSE, Other, June, 14, 14-Jun-14, World Blood Donor Day (International observance)
FALSE, Other, June, 15, 15-Jun-14, Father's Day
FALSE, Other, June, 15, 15-Jun-14, Global Wind Day
FALSE, Other, June, 16, 16-Jun-14, International Day of the African Child
FALSE, Other, June, 17, 17-Jun-14, Bunker Hill Day
FALSE, Other, June, 17, 17-Jun-14, World Day to Combat Desertification and Drought (International)
FALSE, Other, June, 18, 18-Jun-14, Autistic Pride Day (International)
FALSE, Other, June, 19, 19-Jun-14, World Sickle Cell Day (International)
FALSE, Other, June, 19, 19-Jun-14, World Sauntering Day
FALSE, Other, June, 20, 20-Jun-14, West Virginia Day
FALSE, Other, June, 20, 20-Jun-14, World Refugee Day (International)
FALSE, Other, June, 21, 21-Jun-14, World Humanist Day (Humanism)
FALSE, Other, June, 21, 21-Jun-14, World Hydrography Day
FALSE, Other, June, 21, 21-Jun-14, International Yoga Day
FALSE, Other, June, 22, 22-Jun-14, 
FALSE, Other, June, 23, 23-Jun-14, United Nations Public Service Day (International)
FALSE, Other, June, 24, 24-Jun-14, 
FALSE, Other, June, 25, 25-Jun-14, National Catfish Day (United States)
FALSE, Other, June, 26, 26-Jun-14, International Day against Drug Abuse and Illicit Trafficking (International)
FALSE, Other, June, 26, 26-Jun-14, International Day in Support of Victims of Torture (International)
FALSE, Other, June, 27, 27-Jun-14, Parents Day
FALSE, Other, June, 28, 28-Jun-14, 
FALSE, Other, June, 29, 29-Jun-14, Rath Yatra 
FALSE, Other, June, 30, 30-Jun-14, 
FALSE, Other, July, 1, 1-Jul-14, Doctors' Day (India)
FALSE, Other, July, 2, 2-Jul-14, World UFO Day
FALSE, Other, July, 3, 3-Jul-14, Emancipation Day (United States Virgin Islands)
FALSE, Other, July, 4, 4-Jul-14, Independence Day of USA
FALSE, Other, July, 5, 5-Jul-14, 
FALSE, Other, July, 6, 6-Jul-14, World Zoonoses Day
FALSE, Other, July, 7, 7-Jul-14, Bahuda Yatra
FALSE, Other, July, 8, 8-Jul-14, 
FALSE, Other, July, 9, 9-Jul-14, 
FALSE, Other, July, 10, 10-Jul-14, 
FALSE, Other, July, 11, 11-Jul-14, Free Slurpee Day
FALSE, Other, July, 11, 11-Jul-14, World Population Day (International)
FALSE, Other, July, 12, 12-Jul-14, Guru Purnima
FALSE, Other, July, 13, 13-Jul-14, Bonalu
FALSE, Other, July, 14, 14-Jul-14, Kateri Tekakwitha (United States)
FALSE, Other, July, 15, 15-Jul-14, 
FALSE, Other, July, 16, 16-Jul-14, 
FALSE, Other, July, 17, 17-Jul-14, World Day for International Justice (International)
FALSE, Other, July, 18, 18-Jul-14, Njangattiri Aanayoottu
FALSE, Other, July, 18, 18-Jul-14, Nelson Mandela Birthday - International Day
FALSE, Other, July, 19, 19-Jul-14, 
FALSE, Other, July, 20, 20-Jul-14, 
FALSE, Other, July, 21, 21-Jul-14, 
FALSE, Other, July, 22, 22-Jul-14, Ratcatcher's Day
FALSE, Other, July, 23, 23-Jul-14, 
FALSE, Other, July, 24, 24-Jul-14, Happy Cousins Day
